project_id,url,brand,agency,title,publish_date,last_updated
217006,https://www.digitaling.com/projects/217006.html,MI 小米,nan,小米最新广告把格局打开了，国产仿生机器人的探索之路,2022-08-16,2025-08-07 14:27:51
215669,https://www.digitaling.com/projects/215669.html,MI 小米,影视飓风,小米《爷爷的照相馆》：当你收到被遗忘的老照片,2022-08-10,2025-08-07 14:27:51
213527,https://www.digitaling.com/projects/213527.html,MI 小米,天与空,小米：在江南水乡的乌篷船顶上，办一场漂流影展,2022-07-14,2025-08-07 14:27:51
213590,https://www.digitaling.com/projects/213590.html,MI 小米,妖怪,小米情人节《定格爱》：爱在每一个日常,2022-07-13,2025-08-07 14:27:51
213023,https://www.digitaling.com/projects/213023.html,MI 小米,nan,小米×徕卡《爱逾时间》：黑白与彩色碰撞的跨时空音乐剧,2022-07-07,2025-08-07 14:27:51
209474,https://www.digitaling.com/projects/209474.html,MI 小米,Stig&Xi,小米海外短片《12克拉》：一场精心谋划的影音追捕,2022-06-09,2025-08-07 14:27:51
204469,https://www.digitaling.com/projects/204469.html,MI 小米,Seen,红米kino&hoho盲盒亮相动画，穿梭不同次元,2022-05-25,2025-08-07 14:27:51
203671,https://www.digitaling.com/projects/203671.html,MI 小米,nan,小米12周年×苏炳添：脑洞接龙，一起奔赴未来,2022-05-23,2025-08-07 14:27:51
206835,https://www.digitaling.com/projects/206835.html,MI 小米,nan,小米手机母亲节：不该被定义的年轻妈妈,2022-05-20,2025-08-07 14:27:51
206653,https://www.digitaling.com/projects/206653.html,MI 小米,nan,小米Misans，要做就做最好的屏显字体,2022-05-11,2025-08-07 14:27:51
203622,https://www.digitaling.com/projects/203622.html,MI 小米,nan,红米极限挑战：热气球高空走钢丝，还要在上面拍照,2022-04-13,2025-08-07 14:27:51
203447,https://www.digitaling.com/projects/203447.html,MI 小米,天与空,米家扫地机器人艺术展，用垃圾做成的艺术品,2022-04-11,2025-08-07 14:27:51
202474,https://www.digitaling.com/projects/202474.html,MI 小米,nan,Redmi×京东超级品牌日：狠超想象的K50专列，硬核跨界发车！,2022-03-30,2025-08-07 14:27:51
199128,https://www.digitaling.com/projects/199128.html,MI 小米,nan,红米悬疑短片《窥梦列车》：新品情报局勇斗保密员,2022-03-25,2025-08-07 14:27:51
194851,https://www.digitaling.com/projects/194851.html,MI 小米,天与空,小米手机新春短片：家人眼中的焦点，永远是你,2022-02-11,2025-08-07 14:27:51
194074,https://www.digitaling.com/projects/194074.html,MI 小米,RESPECT,小米×李响：大部分的成功，都来自暗处用功,2022-01-26,2025-08-07 14:27:51
190952,https://www.digitaling.com/projects/190952.html,MI 小米,nan,小米推出2022年月历，回顾12款经典机型,2022-01-04,2025-08-07 14:27:51
187858,https://www.digitaling.com/projects/187858.html,MI 小米,RESPECT,小米折叠屏：一场靠手机赢下的竞标,2021-11-30,2025-08-07 14:27:51
182237,https://www.digitaling.com/projects/182237.html,MI 小米,天与空,小米「大山里的童画」，一份独一无二的中秋礼物,2021-09-30,2025-08-07 14:27:51
175244,https://www.digitaling.com/projects/175244.html,MI 小米,nan,小米小爱同学：一个“我在”的故事,2021-08-20,2025-08-07 14:27:51
174348,https://www.digitaling.com/projects/174348.html,MI 小米,Pre,小米Redmi Note 10，在冰岛奏响“冰与火之歌”,2021-08-13,2025-08-07 14:27:51
172143,https://www.digitaling.com/projects/172143.html,MI 小米,nan,小米电影短片《菲林大镖客》：送胶片也能这么燃,2021-08-04,2025-08-07 14:27:51
167936,https://www.digitaling.com/projects/167936.html,MI 小米,新片场,小米父亲节主题片《合拍儿》，祖孙三代关于拍照的故事,2021-07-04,2025-08-07 14:27:51
167159,https://www.digitaling.com/projects/167159.html,MI 小米,nan,父亲节，小米上线回文体短片《不想做这样的爸爸》,2021-06-22,2025-08-07 14:27:51
164135,https://www.digitaling.com/projects/164135.html,MI 小米,nan,小米智能生活618系列广告，老家电集体“请辞”,2021-06-12,2025-08-07 14:27:51
161391,https://www.digitaling.com/projects/161391.html,MI 小米,nan,小米11 Ultra：只需要一个手电筒，就能拍出高级大片,2021-05-02,2025-08-07 14:27:51
159676,https://www.digitaling.com/projects/159676.html,MI 小米,nan,小米《昼与夜》：感受手机镜头下的光影魅力,2021-04-20,2025-08-07 14:27:51
158137,https://www.digitaling.com/projects/158137.html,MI 小米,nan,雷军和许知远的《灵魂对话》，聊了小米的“生生不息”,2021-04-07,2025-08-07 14:27:51
157773,https://www.digitaling.com/projects/157773.html,MI 小米,竹蜻蜓Studio,小米手环6产品视频：可爱动感到炫目,2021-04-07,2025-08-07 14:27:51
157738,https://www.digitaling.com/projects/157738.html,MI 小米,腔调广告,小米 11 周年主题视频《生生不息》：阳光之下，奔跑者组成的赞颂,2021-04-01,2025-08-07 14:27:51
156492,https://www.digitaling.com/projects/156492.html,MI 小米,ONLYLIGHT,小米10S发专辑，一起聆听《吸猫の歌》,2021-03-23,2025-08-07 14:27:51
156065,https://www.digitaling.com/projects/156065.html,MI 小米,nan,小米ASMR广告，春天的美，可以用听的,2021-03-19,2025-08-07 14:27:51
146062,https://www.digitaling.com/projects/146062.html,MI 小米,nan,小米11正式发布，它的文案与海报值得细品！,2020-12-29,2025-08-07 14:27:51
138558,https://www.digitaling.com/projects/138558.html,MI 小米,简创意空间,Redmi K30 Pro 推出“酷爱”广告片，把世界看清,2020-12-17,2025-08-07 14:27:51
141582,https://www.digitaling.com/projects/141582.html,MI 小米,nan,红米Note9发布会预告视频：福禄寿化身三剑客，太飒了！,2020-12-11,2025-08-07 14:27:51
143409,https://www.digitaling.com/projects/143409.html,MI 小米,nan,红米：李诞教卢伟冰说脱口秀，讲出手机圈真心话,2020-12-10,2025-08-07 14:27:51
124123,https://www.digitaling.com/projects/124123.html,MI 小米,BITONE,小米推出透明电视：悬浮空中，透见未来,2020-08-20,2025-08-07 14:27:51
119853,https://www.digitaling.com/projects/119853.html,MI 小米,nan,小米手机致敬2020毕业生：好好说再见,2020-07-15,2025-08-07 14:27:51
118201,https://www.digitaling.com/projects/118201.html,MI 小米,兴趣使然工作室,小米手环：联名4个动漫IP，带来满满童年回忆,2020-06-29,2025-08-07 14:27:51
110837,https://www.digitaling.com/projects/110837.html,MI 小米,nan,小米MIUI12宣传片，开始探索火星了,2020-04-28,2025-08-07 14:27:51
108002,https://www.digitaling.com/projects/108002.html,MI 小米,nan,小米10周年推出一支ASMR广告《日常美好，听得到》,2020-04-16,2025-08-07 14:27:51
102850,https://www.digitaling.com/projects/102850.html,MI 小米,MI,雷军把小米10送上太空之后发了一条朋友圈：小米，1亿像素拍地球,2020-02-26,2025-08-07 14:27:51
101219,https://www.digitaling.com/projects/101219.html,MI 小米,nan,红米旗下K30手机，推出唯美古风小剧场 《流光记》,2020-02-13,2025-08-07 14:27:51
100841,https://www.digitaling.com/projects/100841.html,MI 小米,nan,小米联合b站推出72小时超应援直播，一起为生活加油,2020-02-12,2025-08-07 14:27:51
99252,https://www.digitaling.com/projects/99252.html,MI 小米,nan,小米海外发起「南极挑战」，极寒下红米Note 8依旧能打,2020-01-22,2025-08-07 14:27:51
99602,https://www.digitaling.com/projects/99602.html,MI 小米,PHANTOM,小米小爱同学3.0升级亮相视频，视觉惊艳！,2020-01-21,2025-08-07 14:27:51
90817,https://www.digitaling.com/projects/90817.html,MI 小米,nan,90后婚姻满意度不降反升？小米智能社会进步报告告诉你真相！,2019-11-20,2025-08-07 14:27:51
89263,https://www.digitaling.com/projects/89263.html,MI 小米,nan,小米CC9 Pro：和王源、张子枫记录1亿种成长心事,2019-11-08,2025-08-07 14:27:51
87968,https://www.digitaling.com/projects/87968.html,MI 小米,W,小米海外无声喜剧：小偷是怎么被发现的？,2019-10-31,2025-08-07 14:27:51
86141,https://www.digitaling.com/projects/86141.html,MI 小米,PHANTOM,你的小米手机里，藏着一片动态的“星河”,2019-10-10,2025-08-07 14:27:51
83747,https://www.digitaling.com/projects/83747.html,MI 小米,nan,小米环绕屏手机：探索不可能，才能让未来多一种可能,2019-09-27,2025-08-07 14:27:51
72253,https://www.digitaling.com/projects/72253.html,MI 小米,nan,小米手机新系列：发现你的C位美，这，就是CC,2019-06-24,2025-08-07 14:27:51
71161,https://www.digitaling.com/projects/71161.html,MI 小米,亿众互动,小米智米空调H5：吹一口气，用肺活量测测气质,2019-06-13,2025-08-07 14:27:51
69838,https://www.digitaling.com/projects/69838.html,MI 小米,nan,小米儿童节公益H5：为大山里的小诗人做海报,2019-06-02,2025-08-07 14:27:51
67780,https://www.digitaling.com/projects/67780.html,MI 小米,nan,小米520诗选：世间所有的美好，皆因有爱,2019-05-21,2025-08-07 14:27:51
61319,https://www.digitaling.com/projects/61319.html,MI 小米,nan,布朗熊“加萌”小米9SE，变身“超级英熊”,2019-04-03,2025-08-07 14:27:51
59527,https://www.digitaling.com/projects/59527.html,MI 小米,nan,哈哈哈，太中二了！红米上线动画广告：《少年瑞德米的传奇故事》,2019-03-20,2025-08-07 14:27:51
56811,https://www.digitaling.com/projects/56811.html,MI 小米,BITONE,MI 小米：酷炫，战斗天使小米9发布会影片抢先看！,2019-02-28,2025-08-07 14:27:51
56881,https://www.digitaling.com/projects/56881.html,MI 小米,nan,小米：雷军和王源，公开了这9个秘密,2019-02-22,2025-08-07 14:27:51
53171,https://www.digitaling.com/projects/53171.html,MI 小米,Planet,我是小米8，我为8周年代表作奋斗！,2018-12-25,2025-08-07 14:27:51
42517,https://www.digitaling.com/projects/42517.html,MI 小米,nan,玩得停不下来！小米MIX 3，全面屏去哪了？,2018-10-23,2025-08-07 14:27:51
38954,https://www.digitaling.com/projects/38954.html,MI 小米,nan,小米变成人？米家人的日常有点迷,2018-09-17,2025-08-07 14:27:51
31226,https://www.digitaling.com/projects/31226.html,MI 小米,nan,首次公开！小米创业8年内部纪录片,2018-07-18,2025-08-07 14:27:51
26977,https://www.digitaling.com/projects/26977.html,MI 小米,nan,小米充电宝除了充电还能干啥？只有想不到，没有做不到,2018-04-30,2025-08-07 14:27:51
26665,https://www.digitaling.com/projects/26665.html,MI 小米,nan,小米：无聊是种病，测测你“病”得多重？,2018-04-12,2025-08-07 14:27:51
26415,https://www.digitaling.com/projects/26415.html,MI 小米,nan,小米 MIX 2S 的广告把世界名画都玩坏了！,2018-03-28,2025-08-07 14:27:51
26151,https://www.digitaling.com/projects/26151.html,MI 小米,nan,男巫挑战黑科技， 在小米之家上演花式购物,2018-03-09,2025-08-07 14:27:51
24684,https://www.digitaling.com/projects/24684.html,MI 小米,nan,小米空气净化器亲情短片：第一次做爸爸，让我照顾好你,2017-12-22,2025-08-07 14:27:51
23165,https://www.digitaling.com/projects/23165.html,MI 小米,GWANTSI,让激情燃爆整个黑夜，发烧的小米又有了新的打开方式,2017-09-06,2025-08-07 14:27:51
22148,https://www.digitaling.com/projects/22148.html,MI 小米,INFINI,一组海报告诉你小米 Max2的屏幕有那么大！,2017-06-27,2025-08-07 14:27:51
22085,https://www.digitaling.com/projects/22085.html,MI 小米,Publicis,小米儿童手表防失踪插画，让阳狮上海“银”了戛纳狮,2017-06-21,2025-08-07 14:27:51
21248,https://www.digitaling.com/projects/21248.html,MI 小米,nan,#奇葩说大战米粉节，老牌辩手开撕小米金主爸爸！,2017-04-02,2025-08-07 14:27:51
21234,https://www.digitaling.com/projects/21234.html,MI 小米,nan,为了念好我这条《奇葩说》广告，马东练了108次！,2017-03-30,2025-08-07 14:27:51
20463,https://www.digitaling.com/projects/20463.html,MI 小米,SPES,红米Note4印度发布会预告《印度神游》,2017-02-04,2025-08-07 14:27:51
20524,https://www.digitaling.com/projects/20524.html,MI 小米,nan,小米2017春晚大片抢先看——《未来之门》,2017-01-25,2025-08-07 14:27:51
20024,https://www.digitaling.com/projects/20024.html,MI 小米,nan,日本机械舞天团给小米之家拍广告啦——《机器人挑战》！,2016-12-22,2025-08-07 14:27:51
27257,https://www.digitaling.com/projects/27257.html,MI 小米,BITONE,小米Note2外观宣传视频，#一面科技，一面艺术#,2016-11-16,2025-08-07 14:27:51
19273,https://www.digitaling.com/projects/19273.html,MI 小米,nan,梁朝伟代言小米，推出首支广告片《双面人生》,2016-10-24,2025-08-07 14:27:51
18409,https://www.digitaling.com/projects/18409.html,MI 小米,nan,红米国民手机，《被一亿人喜爱》品牌形象大片,2016-08-10,2025-08-07 14:27:51
18253,https://www.digitaling.com/projects/18253.html,MI 小米,nan,红米 Pro：做手机其实很简单，就跟做菜一个样,2016-07-26,2025-08-07 14:27:51
19959,https://www.digitaling.com/projects/19959.html,MI 小米,nan,小米Max发布会预热片还能这么拍！开心麻花爆笑出演,2016-05-30,2025-08-07 14:27:51
17526,https://www.digitaling.com/projects/17526.html,MI 小米,nan,小米Max：“Are you OK?” 雷军邀请你加入群聊 互动网站,2016-05-13,2025-08-07 14:27:51
19962,https://www.digitaling.com/projects/19962.html,MI 小米,nan,小米 Max 发布会彩蛋视频：《大佬就用大屏手机》,2016-05-12,2025-08-07 14:27:51
16882,https://www.digitaling.com/projects/16882.html,MI 小米,nan,小米5 魔性预热视频：你以为你以为的快就是你以为的快吗？,2016-02-24,2025-08-07 14:27:51
337770,https://www.digitaling.com/projects/337770.html,Lenovo 联想,诸位,联想青年节：人与AI如何共处,2025-05-04,2025-08-07 14:27:51
336769,https://www.digitaling.com/projects/336769.html,Lenovo 联想,F5,联想：当川剧变脸遇上AI变脸,2025-04-21,2025-08-07 14:27:51
333339,https://www.digitaling.com/projects/333339.html,Lenovo 联想,诸位,联想三八节：她们的AI进化论,2025-03-17,2025-08-07 14:27:51
328593,https://www.digitaling.com/projects/328593.html,Lenovo 联想,Pre.1极昼广告,联想×大冰：给每个回家的人，送上最实用的“2025开场白”,2025-01-17,2025-08-07 14:27:51
314572,https://www.digitaling.com/projects/314572.html,Lenovo 联想,Pre.1极昼广告,联想集团40周年追梦三部曲，讲述不一样的体育精神,2024-09-05,2025-08-07 14:27:51
305920,https://www.digitaling.com/projects/305920.html,Lenovo 联想,SG胜加,联想父亲节：好爸爸生存法则,2024-06-18,2025-08-07 14:27:51
288217,https://www.digitaling.com/projects/288217.html,Lenovo 联想,SG胜加,联想520：发现闺蜜or哥们是恋爱脑怎么办？,2024-05-22,2025-08-07 14:27:51
275225,https://www.digitaling.com/projects/275225.html,Lenovo 联想,SG胜加,联想：现在是个关键时刻,2024-01-02,2025-08-07 14:27:51
240708,https://www.digitaling.com/projects/240708.html,Lenovo 联想,站酷共创,联想工作站携手站酷，发现一万个灵感瞬间,2023-03-15,2025-08-07 14:27:51
239147,https://www.digitaling.com/projects/239147.html,Lenovo 联想,COOLDOWN,联想国风定格动画《五行山》：小女孩心中的美猴王,2023-02-27,2025-08-07 14:27:51
238993,https://www.digitaling.com/projects/238993.html,Lenovo 联想,nan,联想×比得兔：有些爱意，藏在心意里,2023-02-26,2025-08-07 14:27:51
237103,https://www.digitaling.com/projects/237103.html,Lenovo 联想,Real,联想定格动画《五行山》，小女孩心中的美猴王,2023-02-16,2025-08-07 14:27:51
236564,https://www.digitaling.com/projects/236564.html,Lenovo 联想,WAVE,联想×中国探月太空萌兔：38万公里的团年,2023-02-07,2025-08-07 14:27:51
235955,https://www.digitaling.com/projects/235955.html,Lenovo 联想,Pre,联想新年短片：一只会笑的猩猩,2023-02-02,2025-08-07 14:27:51
234387,https://www.digitaling.com/projects/234387.html,Lenovo 联想,SG胜加,联想开年大片第3季：「万有新力」,2023-01-11,2025-08-07 14:27:51
227079,https://www.digitaling.com/projects/227079.html,Lenovo 联想,NPLUS,联想×魔兽世界：用电脑零件打造游戏坐骑“奥的灰烬”,2022-10-25,2025-08-07 14:27:51
214997,https://www.digitaling.com/projects/214997.html,Lenovo 联想,SG胜加,联想中国三部曲，铺开智慧中国雄心画卷,2022-10-18,2025-08-07 14:27:51
218098,https://www.digitaling.com/projects/218098.html,Lenovo 联想,蓝色光标数字营销机构,凭实力圈粉年轻人 联想这支短片做对了什么？,2022-09-01,2025-08-07 14:27:51
219267,https://www.digitaling.com/projects/219267.html,Lenovo 联想,SG胜加,联想《江山如此多娇》：一幅覆盖全中国的智慧长卷,2022-08-31,2025-08-07 14:27:51
205316,https://www.digitaling.com/projects/205316.html,Lenovo 联想,F5,联想「从迷局到未来」艺术展，造了一座500平米的迷宫,2022-05-05,2025-08-07 14:27:51
194522,https://www.digitaling.com/projects/194522.html,Lenovo 联想,SG胜加,携手短道速滑国家队，点燃冬奥营销的一把火,2022-01-29,2025-08-07 14:27:51
177974,https://www.digitaling.com/projects/177974.html,Lenovo 联想,新世相,ThinkPad×新世相：你好，先锋,2021-09-29,2025-08-07 14:27:51
171513,https://www.digitaling.com/projects/171513.html,Lenovo 联想,SG胜加,联想《上场》：每个人都是主力，都是国家队的一员,2021-07-26,2025-08-07 14:27:51
158836,https://www.digitaling.com/projects/158836.html,Lenovo 联想,新世相,联想×新世相《眼界》：中国眼界，平视世界,2021-04-09,2025-08-07 14:27:51
157983,https://www.digitaling.com/projects/157983.html,Lenovo 联想,nan,联想发布竹简式笔记本：这一次，席卷而来,2021-04-02,2025-08-07 14:27:51
152411,https://www.digitaling.com/projects/152411.html,Lenovo 联想,nan,联想拯救者发布新年广告片，迎福斩棘向上而行,2021-02-16,2025-08-07 14:27:51
152243,https://www.digitaling.com/projects/152243.html,Lenovo 联想,nan,联想打造“像素级”武汉，MC玩家看后直呼内行,2021-02-15,2025-08-07 14:27:51
149303,https://www.digitaling.com/projects/149303.html,Lenovo 联想,蓝色光标数字营销机构,联想与故宫文创再携手，国风与科技巧结合，直击圈层,2021-01-21,2025-08-07 14:27:51
148022,https://www.digitaling.com/projects/148022.html,Lenovo 联想,SG胜加,联想智慧中国品牌片《开局》：拿什么打开局面？,2021-01-11,2025-08-07 14:27:51
136121,https://www.digitaling.com/projects/136121.html,Lenovo 联想,Lenovo,联想发布中年版《后浪》：别做未来的旁观者，与世有争,2020-10-27,2025-08-07 14:27:51
130360,https://www.digitaling.com/projects/130360.html,Lenovo 联想,nan,联想ThinkBook宣传片《前途》，与王源一起用热爱探索未知,2020-10-05,2025-08-07 14:27:51
124277,https://www.digitaling.com/projects/124277.html,Lenovo 联想,nan,联想推出《我在颐和园等你》番外篇，爆笑演绎智慧生活,2020-08-17,2025-08-07 14:27:51
124228,https://www.digitaling.com/projects/124228.html,Lenovo 联想,Havas,联想×中国女排，这波操作有看头！体育营销可以这么玩,2020-08-13,2025-08-07 14:27:51
122639,https://www.digitaling.com/projects/122639.html,Lenovo 联想,BITONE,联想拯救者电竞手机，体验沉浸式的游戏快感,2020-07-30,2025-08-07 14:27:51
116031,https://www.digitaling.com/projects/116031.html,Lenovo 联想,dodo设计,联想：在大唐，看未来,2020-06-11,2025-08-07 14:27:51
101982,https://www.digitaling.com/projects/101982.html,Lenovo 联想,nan,联想×京东超级品牌日系列动画：超你所想,2020-02-20,2025-08-07 14:27:51
99462,https://www.digitaling.com/projects/99462.html,Lenovo 联想,新世相,新世相×联想拍纪录片，讲述那些被中国女排点燃的人和事,2020-01-20,2025-08-07 14:27:51
97019,https://www.digitaling.com/projects/97019.html,Lenovo 联想,nan,联想邀姜思达与粉丝畅聊2019：敢想的，都能成,2020-01-07,2025-08-07 14:27:51
92119,https://www.digitaling.com/projects/92119.html,Lenovo 联想,ZCOOL,ThinkPad 双生隐士×站酷放大招，这些国漫大片超「燃」！,2019-12-02,2025-08-07 14:27:51
